Card Name;Prices;Quantity;Average Price (7 days);link to picture
Atraxa, Grand Unifier;['24,28', '24,50', '24,95', '25,00', '25,00'];451;12.03;static.cardmarket.com/img/b2e58f5d5f06e24af7aad1acd6b61aae/items/1/ONE/692868.jpg
Elesh Norn, Mother of Machines;['28,00', '28,50', '28,90', '28,95', '28,99'];823;30.39;static.cardmarket.com/img/0cc41672d6a325427fdb94f4588f48e5/items/1/ONE/689721.jpg
Mondrak, Glory Dominus;['20,00', '20,00', '21,93', '21,95', '22,00'];1173;25.84;static.cardmarket.com/img/2b0ad3a6b2bd0acf753710fe6b0a4da5/items/1/ONE/692393.jpg
Sword of Forge and Frontier;['12,80', '12,99', '13,00', '13,00', '13,00'];1031;14.81;static.cardmarket.com/img/70a75bdee27005ec221c91bfeaeeddb8/items/1/ONE/692870.jpg
Oblitérateur phyrexian;['9,49', '9,50', '9,50', '9,50', '9,69'];1338;11.37;static.cardmarket.com/img/4e5b22929c0b09d2b4bea2e0e08cef7b/items/1/ONE/689723.jpg
Venerated Rotpriest;['8,00', '8,50', '9,00', '9,10', '9,15'];1370;10.82;static.cardmarket.com/img/4b1327d7e91aaac5a0efd13cb0e5f295/items/1/ONE/692781.jpg
The Mycosynth Gardens;['7,99', '8,00', '8,00', '8,00', '8,00'];1552;10.07;static.cardmarket.com/img/6f3f0ea1e3f89778010602205db20860/items/1/ONE/693894.jpg
Vraska, Betrayal's Sting;['7,00', '7,50', '7,50', '8,00', '8,00'];645;8.96;static.cardmarket.com/img/606e4e6f40cfb81f15a2ca314bacee2a/items/1/ONE/692147.jpg
Skrelv's Hive;['6,50', '6,85', '6,90', '6,90', '6,90'];2239;10.44;static.cardmarket.com/img/0534f7166f1a4869331b598be5447532/items/1/ONE/692400.jpg
Ichormoon Gauntlet;['6,50', '6,99', '6,99', '7,00', '7,00'];1377;8.90;static.cardmarket.com/img/fa98f5771f958d996ae932132ef46667/items/1/ONE/694333.jpg
Tyrranax Rex;['6,50', '6,99', '7,00', '7,00', '7,00'];1362;9.21;static.cardmarket.com/img/6470498004b15054af6bd3c1768d303b/items/1/ONE/692867.jpg
Phyrexian Vindicator;['5,95', '5,96', '6,00', '6,00', '6,00'];1550;8.30;static.cardmarket.com/img/4cefa3cda96f8cd8067e2e260535ba5e/items/1/ONE/694332.jpg
Mercurial Spelldancer;['5,00', '5,50', '5,50', '5,70', '5,79'];1663;7.01;static.cardmarket.com/img/6b05086553c98cf79e7b854da5cb4de6/items/1/ONE/692766.jpg
Nissa, Ascended Animist;['5,75', '5,80', '5,85', '5,90', '5,90'];1140;7.24;static.cardmarket.com/img/987ec5f91e92428735e8fa2a1ac804b4/items/1/ONE/692148.jpg
Jace, the Perfected Mind;['5,25', '7,50', '7,90', '7,99', '8,00'];322;6.81;static.cardmarket.com/img/6bcd82af89e3ce1a2faefaa1e29392dd/items/1/ONE/692402.jpg
Skrelv, Defector Mite;['4,92', '4,95', '4,95', '4,99', '5,00'];2102;6.44;static.cardmarket.com/img/4799ca062ba179bdf582b62c255d29f9/items/1/ONE/692373.jpg
